datetime,open,high,low,close,volume
2024-06-24 06:00:00,159.702,159.738,159.615,159.696,1917
2024-06-24 07:00:00,159.696,159.76,159.679,159.748,2482
2024-06-24 08:00:00,159.748,159.813,159.705,159.709,2138
2024-06-24 09:00:00,159.709,159.76,159.663,159.67,3170
2024-06-24 10:00:00,159.67,159.73,159.642,159.685,3783
2024-06-24 11:00:00,159.685,159.782,159.659,159.782,3893
2024-06-24 12:00:00,159.782,159.802,159.584,159.637,4447
2024-06-24 13:00:00,159.637,159.642,158.755,159.502,9712
2024-06-24 14:00:00,159.502,159.567,159.339,159.458,4509
2024-06-24 15:00:00,159.459,159.549,159.341,159.386,5193
2024-06-24 16:00:00,159.386,159.505,159.318,159.441,7030
2024-06-24 17:00:00,159.441,159.73,159.367,159.715,6136
2024-06-24 18:00:00,159.715,159.749,159.626,159.707,4222
2024-06-24 19:00:00,159.707,159.752,159.632,159.725,2293
2024-06-24 20:00:00,159.725,159.729,159.68,159.704,2597
2024-06-24 21:00:00,159.704,159.706,159.533,159.63,3389
2024-06-24 22:00:00,159.63,159.712,159.611,159.639,3574
2024-06-24 23:00:00,159.64,159.652,159.555,159.557,1433
2024-06-25 00:00:00,159.557,159.61,159.512,159.589,171
2024-06-25 01:00:00,159.585,159.643,159.555,159.638,2098
2024-06-25 02:00:00,159.638,159.699,159.614,159.692,2227
2024-06-25 03:00:00,159.693,159.694,159.334,159.388,4788
2024-06-25 04:00:00,159.388,159.497,159.185,159.394,6572
2024-06-25 05:00:00,159.394,159.44,159.305,159.322,3382
2024-06-25 06:00:00,159.322,159.493,159.32,159.478,2516
2024-06-25 07:00:00,159.478,159.502,159.406,159.422,2306
2024-06-25 08:00:00,159.423,159.449,159.268,159.448,2928
2024-06-25 09:00:00,159.447,159.498,159.375,159.467,3727
2024-06-25 10:00:00,159.471,159.545,159.366,159.482,4692
2024-06-25 11:00:00,159.484,159.514,159.416,159.471,4051
2024-06-25 12:00:00,159.471,159.512,159.419,159.436,2868
2024-06-25 13:00:00,159.436,159.436,159.287,159.424,3789
2024-06-25 14:00:00,159.423,159.474,159.412,159.455,3035
2024-06-25 15:00:00,159.455,159.665,159.424,159.66,4947
2024-06-25 16:00:00,159.661,159.695,159.557,159.625,5178
2024-06-25 17:00:00,159.623,159.717,159.581,159.683,5639
2024-06-25 18:00:00,159.683,159.751,159.656,159.679,4301
2024-06-25 19:00:00,159.679,159.743,159.67,159.741,2520
2024-06-25 20:00:00,159.741,159.742,159.648,159.724,2432
2024-06-25 21:00:00,159.724,159.725,159.66,159.665,2779
2024-06-25 22:00:00,159.665,159.666,159.597,159.617,3420
2024-06-25 23:00:00,159.617,159.694,159.615,159.642,1046
2024-06-26 00:00:00,159.607,159.683,159.607,159.644,436
2024-06-26 01:00:00,159.641,159.667,159.604,159.667,1086
2024-06-26 02:00:00,159.667,159.703,159.613,159.698,1717
2024-06-26 03:00:00,159.697,159.755,159.659,159.715,3713
2024-06-26 04:00:00,159.714,159.896,159.689,159.776,3954
2024-06-26 05:00:00,159.776,159.869,159.749,159.831,2648
2024-06-26 06:00:00,159.831,159.869,159.781,159.83,1752
2024-06-26 07:00:00,159.83,159.852,159.737,159.748,1653
2024-06-26 08:00:00,159.748,159.829,159.745,159.81,1908
2024-06-26 09:00:00,159.81,159.847,159.788,159.815,3969
2024-06-26 10:00:00,159.815,159.924,159.809,159.892,3553
2024-06-26 11:00:00,159.891,159.964,159.866,159.952,2815
2024-06-26 12:00:00,159.952,160.053,159.867,159.977,4940
2024-06-26 13:00:00,159.98,160.341,159.98,160.294,6496
2024-06-26 14:00:00,160.294,160.388,160.197,160.298,6940
2024-06-26 15:00:00,160.298,160.381,160.276,160.346,5244
2024-06-26 16:00:00,160.346,160.62,160.011,160.494,10553
2024-06-26 17:00:00,160.494,160.638,160.428,160.607,7609
2024-06-26 18:00:00,160.604,160.817,160.587,160.677,5688
2024-06-26 19:00:00,160.677,160.767,160.599,160.631,4683
2024-06-26 20:00:00,160.63,160.668,160.588,160.631,3296
2024-06-26 21:00:00,160.631,160.737,160.631,160.698,3325
2024-06-26 22:00:00,160.698,160.839,160.683,160.785,2537
2024-06-26 23:00:00,160.786,160.864,160.766,160.787,1628
2024-06-27 00:00:00,160.784,160.787,160.702,160.752,513
2024-06-27 01:00:00,160.75,160.754,160.655,160.693,1304
2024-06-27 02:00:00,160.693,160.702,160.583,160.626,2190
2024-06-27 03:00:00,160.627,160.7,160.491,160.685,5047
2024-06-27 04:00:00,160.687,160.711,160.388,160.491,4698
2024-06-27 05:00:00,160.495,160.5,160.374,160.451,3530
2024-06-27 06:00:00,160.451,160.483,160.391,160.423,2214
2024-06-27 07:00:00,160.423,160.426,160.301,160.332,2995
2024-06-27 08:00:00,160.332,160.46,160.304,160.396,3461
2024-06-27 09:00:00,160.396,160.489,160.316,160.414,4231
2024-06-27 10:00:00,160.414,160.557,160.386,160.543,4125
2024-06-27 11:00:00,160.543,160.602,160.501,160.548,3162
2024-06-27 12:00:00,160.548,160.564,160.47,160.483,2849
2024-06-27 13:00:00,160.483,160.488,160.389,160.431,2806
2024-06-27 14:00:00,160.431,160.545,160.411,160.545,3203
2024-06-27 15:00:00,160.545,160.546,160.277,160.393,7059
2024-06-27 16:00:00,160.394,160.54,160.354,160.517,6083
2024-06-27 17:00:00,160.517,160.664,160.414,160.588,6250
2024-06-27 18:00:00,160.587,160.722,160.561,160.694,4504
2024-06-27 19:00:00,160.694,160.73,160.673,160.706,1937
2024-06-27 20:00:00,160.706,160.724,160.66,160.721,2781
